date,time,duration,depth,place,category,name,group,buddies,nitrox,night,water,entry,lat,lon
2007-07-03,9:00,45,6,"Confined Water, KL",Training,PADI Open Water,Scubadoo,"Charmaine, Dad",,,Ocean,Shore,3.156,101.712
2007-07-03,9:00,45,6,"Confined Water, KL",Training,PADI Open Water,Scubadoo,"Charmaine, Dad",,,Ocean,Shore,3.156,101.712
2007-07-03,9:00,45,6,"Confined Water, KL",Training,PADI Open Water,Scubadoo,"Charmaine, Dad",,,Ocean,Shore,3.156,101.712
2007-07-04,9:00,45,6,"Confined Water, KL",Training,PADI Open Water,Scubadoo,"Charmaine, Dad",,,Ocean ,Shore,3.156,101.712
2007-07-05,9:00,45,6,"Confined Water, KL",Training,PADI Open Water,Scubadoo,"Charmaine, Dad",,,Ocean ,Shore,3.156,101.712
2007-07-05,9:00,45,6,"Confined Water, KL",Training,PADI Open Water,Scubadoo,"Charmaine, Dad",,,Ocean ,Shore,3.156,101.712
2007-07-09,9:00,55,8.6,"Tekek House Reef, Tioman",Training,"Dive 1, PADI Open Water",Scubadoo,"Charmaine, Dad",,,Ocean ,Shore,2.820,104.147
2007-07-09,9:00,70,8.9,"Tekek House Reef, Tioman",Training,"Dive 2, PADI Open Water",Scubadoo,"Charmaine, Dad",,,Ocean ,Shore,2.820,104.147
2007-07-10,9:00,47,16,"Pirate Reef, Tioman",Training,"Dive 3, PADI Open Water",Scubadoo,"Charmaine, Dad",,,Ocean ,Shore,2.820,104.147
2007-07-10,9:00,50,12.3,"Ringgis, Tioman",Training,"Dive 4, PADI Open Water",Scubadoo,"Charmaine, Dad",,,Ocean ,Shore,2.820,104.147
2008-01-30,8:00,65,10,Cabilao Island,Recreational,Cabilao Island,Family,"Charmaine, Dad",,,Ocean,Boat,9.887,123.759
2008-01-30,13:00,65,10,Cabilao Island,Recreational,Cabilao Island,Family,"Charmaine, Dad",,,Ocean,Boat,9.887,123.759
2022-06-24,9:00,55,5,Hillarys Dive Pool,Training,Refresher - Hillarys Dive Pool,Dolphin Scuba Refresher ,,,,Ocean,Boat,-31.820,115.739
